a,name,longitude,latitude,1,2,3,4,5,6,7,8,9,10
1,An Giang,105.13,10.52,21.20000076,31.14999962,32.31999969,81.25,40.70999908,33.13000107,22.96999931,6.519999981,14.68999958,8.369999886
2,Ba Ria-Vung Tau,107.24,10.54,20.73999977,32.09000015,31.89999962,34.40999985,40.41999817,34.79000092,18.17000008,16.54000092,14.82999992,8.670000076
3,Bac Lieu,105.72,9.29,22.76000023,34.88000107,32.77000046,35.65999985,43.90000153,34.29999924,18.12000084,6.78000021,10.46000004,12.88000011
4,Bac Giang,106.19,21.27,71.51000214,108.8799973,99.12000275,114.0699997,129.4799957,103.0299988,66.93000031,19.34000015,31.48999977,41.95000076
5,Bac Kan,105.84,22.15,30.28000069,46.93999863,51.06000137,48.34000015,55.13999939,44.43999863,29.30999947,8.430000305,13.90999985,18.17000008
6,Bac Ninh,106.08,21.19,63.59000015,95.55000305,87.40000153,102.6600037,114.9300003,92.12999725,59.45999908,17.22999954,27.79999924,37.16999817
7,Ben Tre,106.43,10.16,21.34000015,30.78000069,30.51000023,79.48000336,39.83000183,22.86000061,16.79999924,6.429999828,9.529999733,8.289999962
8,Binh Duong,106.71,11.14,24.45999908,35.13999939,35.47999954,37.45000076,43.47999954,36.20999908,20.79999924,7.289999962,15.77999973,9.729999542
9,Binh Dinh,108.9,14.17,17.90999985,25.11000061,25.37999916,27.46999931,32.34000015,26.29000092,18.47999954,4.980000019,7.679999828,10.44999981
10,Binh Phuoc,106.72,11.75,20.79000092,30.63999939,29.97999954,77.11000061,36.70999908,30.32999992,17.72999954,15.10999966,13.56000042,8.050000191
11,Binh Thuan,108.07,11.09,21.07999992,35.45999908,32.34000015,35.36999893,39.09999847,35.93999863,19.78000069,18.37999916,15.59000015,9.5
12,Ca Mau,105.2,9.15,21.77000046,32.83000183,31.82999992,34.70999908,43.09000015,34.50999832,23.53000069,6.940000057,14.88000011,13.19999981
13,Can Tho,105.75,10.05,25.12000084,37.93999863,36.13999939,40.38999939,46.63000107,39.15999985,27.12000084,7.820000172,17.82999992,14.89000034
14,Cao Bang,106.26,22.67,30.93000031,50.91999817,54.91999817,126.2799988,59.24000168,47.86000061,30.73999977,9.350000381,15.64000034,20.30999947
15,Da Nang,108.2,16.05,33.33000183,47.25999832,56.63000107,59.33000183,68.65000153,52.56000137,40.61000061,11.18999958,16.15999985,22.36000061
16,Dak Lak,108.24,12.71,18.87999916,25.60000038,25.95999908,27.96999931,33.54999924,27.39999962,14.94999981,5.269999981,7.860000134,9.960000038
17,Dak Nong,107.61,12.26,19.81999969,29.46999931,33.95999908,31.12000084,37.27999878,30.70000076,15.94999981,14.34000015,13.17000008,7.429999828
18,Dien Bien,103.02,21.39,31.59000015,52.34999847,57.38999939,130.9799957,42.93000031,51.93999863,34.41999817,10.05000019,15.06999969,19.48999977
19,Dong Nai,107.17,11.07,21.86000061,33.59999847,38.65999985,36.56999969,28.10000038,36.43000031,19.19000053,6.940000057,15.28999996,8.970000267
20,Dong Thap,105.63,10.54,23.52000046,35.04000092,34.74000168,91.75,44.77999878,26.14999962,25.39999962,7.460000038,16.28000069,9.529999733
21,Gia Lai,108.11,13.81,21.45000076,30.67000008,34.50999832,30.52000046,36.72000122,21.81999969,20.75,14.85000038,13.67000008,7.900000095
22,Ha Giang,104.97,22.77,26.78000069,42.15999985,40.41999817,45.86000061,52.29000092,42.56000137,29.29000092,8.489999771,13.55000019,16.80999947
23,Ha Nam,106,20.58,55.43000031,82.90000153,76.47000122,88.48000336,101.4000015,82.37999725,53.84999847,15.42000008,36.79999924,32.72999954
24,Hanoi,105.85,21.03,73.62999725,117.8600006,110.0299988,125.5500031,146.75,120.9000015,80.38999939,21.69000053,37.09000015,47.75
25,Ha Tinh,105.91,18.34,37.29000092,53.45999908,54.93999863,58.79999924,74.04000092,58.84000015,39,11.21000004,16.80999947,21.29000092
26,Hai Duong,106.33,20.94,59.72999954,88.72000122,82.77999878,94.27999878,109.5500031,86.62000275,58.81999969,17,27.29000092,35.25999832
27,Hai Phong,106.69,20.84,49.25,79.87000275,74.87000275,84.93000031,94.43000031,79.94999695,54.13000107,15.64000034,24.95000076,31.46999931
28,Hau Giang,105.64,9.76,23.59000015,34.70000076,33.74000168,88.62999725,43.5,35.16999817,19.06999969,7.150000095,10.89999962,8.43999958
29,Ho Chi Minh City,106.63,10.82,38.25999832,55.93000031,56.20000076,59.47000122,74.58999634,60.20999908,31.86000061,12.30000019,25.48999977,22.51000023
30,Hoa Binh,105.31,20.69,28,44.56999969,40.34000015,44.97999954,53.20999908,41.43999863,27.07999992,7.800000191,12.72999954,16.79000092
31,Hung Yen,106.05,20.65,57.24000168,84.61000061,78.80999756,91.23000336,104.9599991,84.77999878,55.66999817,16.01000023,25.57999992,34.65999985
32,Khanh Hoa,109.05,12.26,21.85000038,33.09000015,34.38999939,35.47000122,38.75999832,32.09000015,23.85000038,6.019999981,9.220000267,12.64000034
33,Kien Giang,105.08,10.01,22.68000031,32.81999969,33.00999832,36.65999985,41.68000031,24.51000023,24.21999931,7.159999847,15.19999981,13.22999954
34,Kon Tum,107.84,14.66,22.39999962,32.59000015,37.41999817,80.44999695,27.48999977,23.86000061,18.14999962,16.19000053,14.64000034,8.430000305
35,Lai Chau,103.47,22.38,25.98999977,41.47000122,48.36000061,106.2399979,36.27999878,41.88999939,28.20999908,8.350000381,12.31000042,15.72000027
36,Lam Dong,108.14,11.58,19.48999977,26.56999969,28.05999947,29.61000061,22.89999962,29.17000008,16.90999985,14.47999954,12.78999996,7.730000019
